"State","711AS","713","721","722"
"North Dakota",18.8,34.9,9.7,30.8
"Alabama",12.4,34.3,16.5,30.2
"Kentucky",13.7,31.4,12.7,28.8
"Virginia",5.8,30.7,11.5,25
"North Carolina",6.7,30.4,14.5,27.5
"Arkansas",10.8,30.3,15.1,31.3
"Nebraska",13.1,28.8,14.4,29.9
"South Carolina",11.8,28.5,10.1,30.7
"Wisconsin",7.7,27.1,16.5,28.8
"South Dakota",15.5,26.7,12.7,33.5
"Idaho",12.8,26.5,16.8,32.8
"Utah",9.3,26.1,12,34.3
"Georgia",7.9,26,11.9,29
"West Virginia",7.5,25.8,12.5,29
"Delaware",16,23.5,10.2,28.7
"Tennessee",2.8,23.1,10,25.2
"Arizona",6.8,22.2,13.7,25.7
"Missouri",6.2,22.1,11.5,30.6
"Texas",5,22,12.9,28.4
"Montana",11.1,21.7,19.6,34.5
"Michigan",6.2,21.4,8.9,30.3
"Minnesota",7.7,21.2,12.1,27.1
"Mississippi",8.6,20.9,13.7,33
"Oklahoma",7.7,20.8,16.3,28.6
"Iowa",10,20.2,12.7,32.6
"Kansas",16.3,19.9,10.7,31.6
"Pennsylvania",4.9,19.9,12.8,26
"Oregon",5.8,19.7,14.5,22.1
"Florida",6.7,19.3,10.2,26.2
"Louisiana",4.9,19.2,10.8,28.8
"Maine",7.3,19.2,12,22.5
"Rhode Island",7.2,19.1,7.6,24.1
"New Mexico",7.5,18.7,15.7,25
"New Jersey",4.2,18.5,10.4,24.3
"Vermont",6.7,18.5,10.3,21.7
"Connecticut",5.1,16.9,6.2,19.9
"Alaska",9.6,16.7,14.1,22.3
"New York",3.2,16.4,5,18.9
"Washington",6,16,7.5,19.7
"California",3.5,15.9,10.4,19.5
"Wyoming",11.1,15.3,16.4,33
"Ohio",7.6,14.8,13.7,29
"Maryland",6,14.6,7,21.9
"Colorado",5.3,14.5,11.6,24.1
"Massachusetts",4.6,14.5,7.3,20
"Hawaii",7.3,13.8,6.3,17.9
"Illinois",4.5,13,7.6,23
"Indiana",6,12.9,15.6,30.8
"Nevada",3.5,11.2,9.4,21
"New Hampshire",5.3,10.5,8.4,21.9
